"Term","Course","Instructor","Description"
"S23","Digital","Sackey","This production course addresses the relationship between rhetoric, digital storytelling, documentary, and environment. The intersection of media and the environment provides a compelling case for rhetorical inquiry and production. Since the early 1970s, scholars in rhetoric studies have examined documentary film from a rhetorical perspective. Maynard’s The Celluloid Curriculum provided space for using film in high school courses. Thomas Hoffer, Richard Nelson, Barry Winters, and Karen Foss applied rhetorical theory to documentary film and in some cases offered insight into how documentary film making might have a place in rhetoric classrooms. More recently, scholars like Alexandra Hidalgo have pushed rhetoric studies to move from a position of analysis to one of production. In Cámara Retórica, Hidalgo asks that we train more of our students in film and video production in order to expand the boundaries of what digital scholarship might look like in our discipline. This course is designed to address this moment in rhetoric studies. The class is built around film screenings and readings designed to examine the multifaceted relationships between nature and culture. This course is intended to help students learn basic skills in environmental documentary filmmaking. Students will develop their analytical skills through watching films and engaging in discussions of contemporary issues in electronic media as they relate to bringing an environmental story to the screen. Students will work in four teams of three students each and each team will create a short video (five to 10 minutes) on an environmental topic suitable for broadcast."
"S23","Digital","Hsu","This class examines storytelling’s influence on cultural and political struggles, focusing on the genre of podcasts. By listening to a range of podcasts, we will explore how different interview, research, and narrative techniques can affect public perception and policies. Students will study rhetorical criticism and narrative craft while developing hands-on experience in producing their own podcasts. Questions driving our activities throughout the semester include: How does storytelling impact cultural expectations, institutional structures, and distributions of precarity and privilege? How have the histories that preceded us shaped our story ecologies—that is, whose stories are readily accessible, and whose are rarely heard? How do we seek out and amplify stories that we find meaningful? To whom are we accountable in our storytelling, and how do we take responsibility for the effects of our words?"
"S23","Digital","Graham","Did you know that Outkast and Wu-Tang Clan use a larger vocabulary in their lyrics than Shakespeare did in his plays? It's true. How do we know this? Because someone actually measured the number of unique words used by different hip hop artists and compared those figures to Shakespearean plays. Hip hop vocabulary is, of course, not the only rhetoric we can measure. Recent studies of Facebook disinformation campaigns and their effects on polarizing the US electorate have found that the actual content overwhelmingly involved feel-good, positive messaging. Most people assumed it was negative, because it was polarizing. But when you actually measure the emotional content of the posts, it turns out that's not true. Do you know that who used the most sophisticated language of any of the candidates in the 2016 presidential campaign? Apparently, it was Ted Cruz. Is that what you would have guessed? Much of our popular understanding of rhetoric, language, and persuasion is based on instinct and intuition. Rhetorical training offers one very good way of honing that intuition to make it better and more sophisticated. Nevertheless, even the best instincts and intuitions can lead us astray, and sometimes you need to check the numbers behind your ideas about rhetoric in the world. Accordingly, this edition of RHE 330C will provide students with hands-on experience measuring language according to different theories and approaches. This means figuring out what to measure, how to measure it, and then actually measuring it. But, how do you measure the entire collected works of the Wu-Tang Clan and compare it to Shakespeare? Ain't nobody got time for that. You're going to need some help. You're going to need something that can read a whole lot faster than you can. So, in this course, students will teach computers to read. In so doing, students will explore how to use, create, and analyze computational technologies that assess 1) the complexity and difficulty of persuasive texts, 2) the emotional content of bodies of discourse, and 3) the content itself of persuasive language. No prior experience is required to complete this course."
"S23","History","Rhodes","This course explores the rhetoric of liberation in the US in the 1960s, looking in detail at the words and actions of activists in the Civil Rights movement, the anti-war/anti-imperialist movement, Black Power, women’s liberation, gay liberation, the Chicano movement/el movimiento, and other noteworthy phenomena of the era. We will focus in particular on two central questions: (1) How have different groups mobilized liberation rhetoric to demand bodily autonomy and self-determination? and (2) How have different movements “cross-pollinated” in terms of rhetorical strategies? In the acts of exploring and answering these questions, we will speculate on the value of the seismic rhetorical shift of the 1960s to today’s activists, whether liberal, radical, or conservative."
"S23","History","Longaker","Political conservatism in the United States today includes: libertarians like Rand Paul; Christian Evangelicals and Franklin Graham; and country-club Republicans like John Cornyn. What unites all of these people? What ideas do they share? How do they defend these ideas in public debate? This class will investigate the long history of political conservatism with special attention to present-day voices. We will try to find a common intellectual thread between classical thinkers like Edmund Burke and contemporary voices like Murray Rothbard. We will interrogate the scope of conservative argumentation to see, among other things: if feminists can appeal to conservative principles; if present appeals to states rights can be separated from past defenses of U.S. slavery; if emotional appeals to character, virtue, and institutions can convince people to trust themselves more than their government. We will pay special attention to American conservatism beginning with John C. Calhoun and extending to Phyllis Schafly. Students will analyze conservative arguments, will compose arguments based on conservative principles, and will apply these principles to present-day events."
"S23","History","Izaguirre","This course examines the role of sophists and sophistry in the development and practice of rhetoric as an art, from antiquity to modern times."
"S23","Theory","Charney","Strategies for persuading audiences were distilled into the art of rhetoric in ancient Athens, where critical thinking and civic oratory became key parts of democratic governance. This course employs the concepts of rhetorical theory to examine the distinctive persuasive strategies used around the same time in the cultures of the ancient Near East and in the Hebrew Bible in particular. Like other ancient Near Eastern texts, the Hebrew Bible contains many examples of human speakers trying to persuade God or trying to persuade other people on God's behalf. What seems distinctive about the Hebrew Bible is the willingness of Israelites to argue with and challenge God. The assumption that God is open to argument raises fascinating questions: how can one pull off rhetorical tactics with a divine being who is all-powerful and all-knowing? Why should God engage in arguments with humans? How did Israelites discern God's response? The course is structured around three types of discourses: face-to-face interaction, prayer, and prophecy. Students will analyze the rhetorical strategies of Biblical passages of each type, consider how these discourses differed across cultures in the ancient Near East, and relate them to versions of these discourses in the U.S. today."
"S23","Theory","Davis","Aristotle held that there were three basic appeals by which to persuade an audience: appeals to reason (logos), to the speaker’s character (ethos), and to the audience’s emotions (pathos). In contemporary western society, however, the latter is often considered to be a bit unsavory, a slimy way to move an audience to action or attitude—appeals to fear, anger, pity, or shame, it is presumed, line up on the side of seduction and ruse rather than on the side of reason and truth. This prejudice enjoys a long and proud history that is associated with the classical definition of man as a rational animal (animale rationale). The capacity for reason is considered by many to be unique to human animals; indeed, it is considered the means by which humans transcend their animality. Emotional appeals, which shoot for the less lofty realms of sensual reaction, are therefore considered superficial and dangerous, manipulative tactics that lead audiences away from a more objective truth. But Aristotle situated the pathé (the passions or emotions) within the realm of reason, considering them crucial not only to sound judgment but to thinking itself. And contemporary thought in such diverse disciplines as rhetoric, philosophy, neuroscience, and affect theory backs Aristotle on this one: all suggest that emotions fundamentally orient one’s existence in the world, and that there is no disinterested or dispassionate reason—indeed, that thinking itself depends upon the passions. In this course, we will follow Aristotle’s lead and study the ways in which thinking and judgment are intricately tied up with passion. We will read a broad spectrum of texts on emotional life in order to better understand both how we, as people, are moved to action or attitude through our affective engagement, and how we, as rhetors, might use that understanding to craft successful appeals."
"S23","Theory","Diab","Very often we invoke peace as a desirable state of being and of the world. But, what is peace? What does it take to be peaceful? To what extent does our criticism of violence help us get closer to peace? What does peace have to do with rhetoric? We will use these questions to begin our explorations of the rhetoric of peacemaking. The discipline of rhetoric has an enduring investment in countering injustice and pursuing justice and peace. In this course, we will explore this enduring investment. In specific terms, we will study the (1) relation between rhetoric, violence, and peacemaking, (2) ways in which our rhetorical practices can cause/exacerbate conflict or guide us to peacemaking, and (3) rhetorical choices, practices and stances that are consistent with developing peaceful communication styles. As we reflect on the rhetoric of peacemaking, we will read scholarship on the rhetoric of nonviolence, reconciliation, and (human) rights. We will also read/read about illustrative speeches, texts, and rhetorical practices that critique injustice and advocate for justice and peace."
"S23","Theory","Hill","This course explores the rhetorical dimensions and tensions between feminist and scientific analysis, paying close attention to questions of scientific inquiry, interventions, and ethics. We will approach science as a socially-situated practice and scientific knowledge as a political discourse, rather than simply as the neutral presentation of “facts.” To that end, we will investigate social categories, such as sex and race, which are often presented as natural and fixed, to see how they are produced through science. We will also study how these categories shape the production of science itself. We shall engage in this study of U.S. science and society by reading works in Feminist Science Studies and texts from the diverse fields of Biology, Anthropology, Sociology, History, and Rhetoric."
