debate,speaker,text
biden_trump_2020,PARTICIPANTS,Former Vice President Joe Biden (D) and President Donald Trump (R) 
biden_trump_2020,MODERATOR,Kristen Welker (NBC News) 
biden_trump_2020,WELKER,"A very good evening to both of you. This debate will cover six major topics. At the beginning of each section, each candidate will have two minutes, uninterrupted, to answer my first question. The debate commission will then turn on their microphone only when it is their turn to answer, and the commission will turn it off exactly when the two minutes have expired. After that, both microphones will remain on, but on behalf of the voters, I'm going to ask you to please speak one at a time. The goal is for you to hear each other and for the American people to hear every word of what you both have to say. And so with that, if you're ready, let's start. And we will begin with the fight against the coronavirus. President Trump, the first question is for you. The country is heading into a dangerous new phase. More than 40,000 Americans are in the hospital tonight with COVID, including record numbers here in Tennessee. And since the two of you last shared a stage, 16,000 Americans have died from COVID. So please be specific"
biden_trump_2020,MODERATOR,"How would you leave the country during this next stage of the coronavirus crisis? Two minutes, uninterrupted. "
biden_trump_2020,TRUMP,"So, as you know, more 2.2 million people, modeled out, were expected to die. We closed up the greatest economy in the world in order to fight this horrible disease that came from China. It's a worldwide pandemic. It's all over the world. You see the spikes in Europe and many other places right now. If you notice, the mortality rate is down, 85%. The excess mortality rate is way down, and much lower than almost any other country. And we're fighting it and we're fighting it hard. There is a spike. There was a spike in Florida, and it's now gone. There was a very big spike in Texas, it's now gone. There was a very big spike in Arizona, it's now gone. And there were some spikes and surges in other places. They will soon be gone. We have a vaccine that's coming, it's ready. It's going to be announced within weeks, and it's going to be delivered. We have Operation Warp Speed, which is the military, is going to distribute the vaccine. I can tell you from personal experience that I was in the hospital, I had it. And I got better and I will tell you that I had something that they gave me — a therapeutic, I guess they would call it. Some people could say it was a cure. But I was in for a short period of time and I got better very fast or I wouldn't be here tonight. And now they say I'm immune. Whether it's four months or a lifetime, nobody's been able to say that, but I'm immune. More and more people are getting better. We have a problem that's a worldwide problem. This is a worldwide problem, but I've been congratulated by the heads of many countries on what we've been able to do with the — if you take a look at what we've done in terms of goggles and masks and gowns and everything else, and in particular, ventilators. We're now making ventilators. All over the world, thousands and thousands a month, distributing them all over the world, it will go away and as I say, we're rounding the turn, we're rounding the corner, it's going away. "
biden_trump_2020,WELKER,"OK, former Vice President Biden, to you, how would you lead the country out of this crisis? You have two minutes uninterrupted. "
biden_trump_2020,BIDEN,"220,000 Americans dead. If you hear nothing else I say tonight, hear this. Anyone who's responsible for not taking control — in fact, not saying, I take no responsibility, initially — anyone who is responsible for that many deaths should not remain as President of the United States of America. We're in a situation where there are thousands of deaths a day, a thousand deaths a day. And there are over 70,000 new cases per day. Compared to what's going on in Europe, as the New England Medical Journal said, they're starting from a very low rate. We're starting from a very high rate. The expectation is we'll have another 200,000 Americans dead by the time, between now and the end of the year. If we just wore these masks — the President's own advisors told them — we could save 100,000 lives. And we're in a circumstance where the President, thus far, still has no plan. No comprehensive plan. What I would do is make sure we have everyone encouraged to wear a mask, all the time. I would make sure we move in the direction of rapid testing, investing in rapid testing. I would make sure that we set up national standards as to how to open up schools and open up businesses so they can be safe, and give them the wherewithal and financial resources to be able to do that. We're in a situation now where the New England Medical Journal — one of the serious, most serious journals in the whole world — said for the first time ever that this, the way this President has responded to this crisis has been absolutely tragic. And so folks, I will take care of this, I will end this, I will make sure we have a plan. "
biden_trump_2020,WELKER,"President Trump, I'd like to follow up with you and your comments. You talked about taking a therapeutic. I assume you're referencing Regeneron. You also said a vaccine will be coming within weeks. Is that a guarantee? "
biden_trump_2020,TRUMP,"It is not a guarantee but it will be by the end of the year, but I think it has a good chance. One or two companies, I think, within a matter of weeks, and it will be distributed very quickly. "
biden_trump_2020,WELKER,Can you tell us what companies? 
biden_trump_2020,TRUMP,"Johnson and Johnson is doing very well. Moderna is doing very well. Pfizer is doing very well, and we have numerous others. And then we also have others that we're working on very closely with other countries, in particular Europe. "
biden_trump_2020,WELKER,"Let me follow up with you, and because this is new information — You have said a vaccine is coming soon, within weeks now. Your own officials say it could take well into 2021 at the earliest for enough Americans to get vaccinated, and even then they say the country will be wearing masks and distancing into 2022. Is your timeline realistic? "
biden_trump_2020,TRUMP,"No, I think my timeline is going to be more accurate. I don't know that they're counting on the military the way I do, but we have our generals lined up, one in particular, that's the head of logistics. And this is a very easy distribution for him. He's ready to go as soon as we have the vaccine, and we expect to have 100 million vials as soon as we have the vaccine, he's ready to go. "
biden_trump_2020,WELKER,"Vice President Biden, your reaction? Just 40% of Americans say they would definitely agree to take a coronavirus vaccine if it was approved by the government. What steps would you take to give Americans confidence in a vaccine if it were approved? "
biden_trump_2020,BIDEN,"Make sure it's totally transparent. Have the scientific world see, know, look at it, go through all the processes. And by the way, this is the same fellow who told you this is going to end by Easter last time. This the same fellow who told you that, don't worry, we're going to end this by the summer. We're about to go into a dark winter, a dark winter, and he has no clear plan and there's no prospect that there's going to be a vaccine available for the majority of the American people before the middle of next year. "
biden_trump_2020,WELKER,"President Trump, your reaction? He says you have no plan. "
biden_trump_2020,TRUMP,"I don't think it's going to be a dark winter at all. We're opening up our country. We've learned and studied and understand the disease, which we didn't know at the beginning. When I closed and banned China from coming in heavily infected, and then ultimately Europe, but China was in January — months later he was saying I was xenophobic, I did it too soon. Now he's saying, 'Oh, I should have, I should have, you know, moved quicker.' But he didn't move quicker; he was months behind me, many months behind me. And frankly, he ran the H1N1 swine flu, and it was a total disaster. Far less lethal. But it was a total disaster. Had that had this kind of numbers, 700,000 people would be dead right now, but it was a far less lethal disease. Look, his own person who ran that for him who, as you know was his chief of staff, said 'It was catastrophic, it was horrible, we didn't know what we were doing.' Now he comes up and he tells us how to do this. Also everything that he said about the way — every single move that he said we should make — that's what we've done, we've done all of it, but he was way behind us. "
biden_trump_2020,WELKER,"Vice President Biden, your response? "
biden_trump_2020,BIDEN,"My responses is, he is xenophobic but not because he shut down access from China. And he did it late, after 40 countries had already done that. In addition to that, what he did, he made sure that we had 44 people that were in there, in China, trying to get to Wuhan to determine what exactly the source was. What did the President say in January? He said no, he said, this is — he's being transparent, the president of China is being transparent. We owe hkim a debt of gratitude. We have to thank him. And then what happened was, we started talking about using the Defense Act, to make sure we go out and get whatever is needed out there to protect people. And again, I go back to this, he had nothing. He did virtually nothing. And then he gets out of the hospital, and he talks about we're, this is, 'Oh, don't worry. This is all going to be over soon.' Come on, there's not another serious scientist in the world who thinks it's going to be over soon. "
biden_trump_2020,WELKER,"President Trump, your reaction? "
biden_trump_2020,TRUMP,"I did not say over soon. I say we're learning to live with it. We have no choice. We can't lock ourselves up in a basement like Joe does. He has the ability to lock himself up. I don't know, he's obviously made a lot of money, someplace, but he has this thing about living in a basement. People can't do that. By the way, I, as the president, couldn't do that. I'd love to put myself in the basement or in a beautiful room in the White House and go away for a year and a half until it disappears. I can't do that. And here's — every, every meeting I had — every meeting I had — and I meet a lot of families, including Gold Star families and military families, every meeting I had — and I had to meet them, I had to, it would be horrible to have canceled everything. I said, you know, this is dangerous. And you catch it. And you know, I caught it. I learned a lot. I learned a lot, great doctors, great hospitals. And now, I recovered. 99.9 of young people recover. 99% of people recover. We have to recover. We can't close up our nation, we have to open our school, and we can't close up our nation, or you're not going to have a nation. "
biden_trump_2020,WELKER,"And of course the CDC has said young people can get sick with COVID-19 and can pass it. Vice President Biden, I want to talk broadly about strategy, though. "
biden_trump_2020,BIDEN,Can I respond to that? 
biden_trump_2020,WELKER,"30 seconds please, and then I have a question. "
biden_trump_2020,BIDEN,"Number one. He says that we're, you know, we're learning to live with it. People are learning to die with it. You folks home will have an empty chair at the kitchen table this morning. That man or wife going to bed tonight and reaching over to try to touch their, out of habit, where their wife or husband was, is gone. Learning to live with it? Come on. We're dying with it, because he's never said — he said it's dangerous. When's the last time? Is it really dangerous, still? Are we dangerous? Tell the people, is it dangerous now? What should they do about the danger? And you say, I take no responsibility. "
biden_trump_2020,WELKER,Let me talk about — 
biden_trump_2020,TRUMP,Excuse me. 
